RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-05-31,2023-07-31,2024-04-30
394900,312,"Napa, CA",msa,CA,2023-04-30,0.4,-0.4,1.3
395013,313,"Rapid City, SD",msa,SD,2023-04-30,1.0,2.4,5.3
395139,314,"Sumter, SC",msa,SC,2023-04-30,0.8,2.0,2.9
394577,315,"Eureka, CA",msa,CA,2023-04-30,0.5,1.1,1.0
395117,316,"Springfield, OH",msa,OH,2023-04-30,1.0,2.5,4.6
394668,317,"Harrisonburg, VA",msa,VA,2023-04-30,0.9,2.1,4.3
394368,318,"Battle Creek, MI",msa,MI,2023-04-30,1.3,3.7,6.7
395094,319,"Sherman, TX",msa,TX,2023-04-30,0.9,2.6,4.7
394821,320,"Manhattan, KS",msa,KS,2023-04-30,0.8,1.8,3.8
394442,321,"Carbondale, IL",msa,IL,2023-04-30,0.9,2.3,0.0
394727,322,"Johnstown, PA",msa,PA,2023-04-30,0.6,1.7,-0.2
394728,323,"Jonesboro, AR",msa,AR,2023-04-30,0.8,1.9,3.8
394390,324,"Bismarck, ND",msa,ND,2023-04-30,0.6,1.2,0.6
394661,325,"Hammond, LA",msa,LA,2023-04-30,0.5,1.2,0.2
394983,326,"Pittsfield, MA",msa,MA,2023-04-30,1.3,3.4,5.5
394890,327,"Mount Vernon, WA",msa,WA,2023-04-30,0.9,1.8,4.2
394719,328,"Jamestown, NY",msa,NY,2023-04-30,1.5,3.8,6.3
395153,329,"The Villages, FL",msa,FL,2023-04-30,0.1,0.1,3.8
394307,330,"Albany, OR",msa,OR,2023-04-30,0.8,1.9,4.8
394633,331,"Glens Falls, NY",msa,NY,2023-04-30,1.0,2.8,3.8
394780,332,"Lawton, OK",msa,OK,2023-04-30,0.9,1.9,3.4
394474,334,"Cleveland, TN",msa,TN,2023-04-30,1.1,2.9,7.2
395098,335,"Sierra Vista, AZ",msa,AZ,2023-04-30,1.0,2.5,6.6
394325,336,"Ames, IA",msa,IA,2023-04-30,0.9,2.2,2.8
394824,337,"Mansfield, OH",msa,OH,2023-04-30,1.2,3.4,5.0
